storage_weight,revenue,ecological_deficit,terminal_storage
0.0,44097.777777777774,2.787037037037038,99999.99999999988
5882.35294117647,43905.77777777778,0.0,99999.99999999988
11764.70588235294,43905.77777777778,0.0,99999.99999999988
17647.058823529413,43905.77777777778,0.0,99999.99999999988
23529.41176470588,43905.77777777778,0.0,99999.99999999988
29411.76470588235,43905.77777777778,0.0,99999.99999999988
35294.117647058825,43905.77777777778,0.0,99999.99999999988
41176.470588235294,43905.77777777778,0.0,99999.99999999988
47058.82352941176,43905.77777777778,0.0,99999.99999999988
52941.17647058823,43905.77777777778,0.0,99999.99999999988
58823.5294117647,43905.77777777778,0.0,99999.99999999988
64705.882352941175,43905.77777777778,0.0,99999.99999999988
70588.23529411765,43905.77777777778,0.0,99999.99999999988
76470.58823529411,43905.77777777778,0.0,99999.99999999988
82352.94117647059,43905.77777777778,0.0,99999.99999999988
88235.29411764705,43905.77777777778,0.0,99999.99999999988
94117.64705882352,43905.77777777778,0.0,99999.99999999988
100000.0,43905.77777777778,0.0,99999.99999999988
